author;date;title;url;views;game;game_type
Krissotep;2023-08-03 19:06:00;Stellaris, carnet des développeurs n°307 : Expériences avec les Dirigeants;https://www.mundusbellicus.fr/624228-stellaris-carnet-des-developpeurs-307-experiences-avec-les-dirigeants;166;Stellaris;Grande Stratégie
Mouchi;2023-08-02 19:48:00;Crusader Kings 3 : Excentricité et Adoption;https://www.mundusbellicus.fr/624221-crusader-kings-3-excentricite-et-adoption;529;Crusader Kings 3;Grande Stratégie
Krissotep;2023-07-27 20:06:00;Stellaris, carnet des développeurs n°306 : Expériences sur les Habitats;https://www.mundusbellicus.fr/624201-stellaris-carnet-des-developpeurs-306-experiences-sur-les-habitats;328;Stellaris;Grande Stratégie
Ancient Egypt Fan;2023-07-25 01:05:00;Dynasty of the Sands - Carnet de développement #1;https://www.mundusbellicus.fr/624193-dynasty-of-the-sands-carnet-de-developpement-1;177;Dynasty of the Sands;Gestion
Lynx;2023-07-14 16:04:00;SGS NATO's Nightmare;https://www.mundusbellicus.fr/623752-sgs-nato-s-nightmare;905;SGS NATO's Nightmare;Grande Stratégie
Ancient Egypt Fan;2023-07-12 00:13:00;Total War: PHARAOH - Carnet de développement #2;https://www.mundusbellicus.fr/624139-total-war-pharaoh-carnet-de-developpement-2;421;Total War Pharaoh;Total War
Ancient Egypt Fan;2023-07-03 23:33:00;Cities: Skylines II - Carnet de développement #3;https://www.mundusbellicus.fr/624107-cities-skylines-ii-carnet-de-developpement-3;1041;Cities: Skylines II;Gestion
Ancient Egypt Fan;2023-06-26 22:49:00;Cities: Skylines II - Carnet de développement #2;https://www.mundusbellicus.fr/624061-cities-skylines-ii-carnet-de-développement-2;926;Cities: Skylines II;Gestion
Ancient Egypt Fan;2023-06-24 11:41:00;Celestial Empire - Carnet de Développement N°20;https://www.mundusbellicus.fr/624054-celestial-empire-carnet-de-developpement-n20;150;Celestial Empire;Gestion
Ancient Egypt Fan;2023-06-24 00:38:00;Cities: Skylines II - Carnet de développement #1;https://www.mundusbellicus.fr/624050-cities-skylines-ii-carnet-de-developpement-1;1199;Cities: Skylines II;Gestion
Krissotep;2023-06-22 18:43:00;Stellaris, carnet des développeurs n°305 : Festivités du milieu de l’été;https://www.mundusbellicus.fr/624047-stellaris-carnet-des-developpeurs-305-festivites-du-milieu-de-l’ete;228;Stellaris;Grande Stratégie
Ancient Egypt Fan;2023-06-20 20:44:00;Total War: PHARAOH - Carnet de développement #1;https://www.mundusbellicus.fr/624039-total-war-pharaoh-carnet-de-developpement-1;428;Total War Pharaoh;Total War
AcidePrussique;2023-06-20 15:08:00;Europa Universalis IV - 1.35.4 - Ottomans;https://www.mundusbellicus.fr/624034-europa-universalis-iv-1-35-4-ottomans;475;Europa Universalis IV;Grande Stratégie
Ancient Egypt Fan;2023-06-17 13:28:00;El Dorado: The Golden City Builder - Les esclaves;https://www.mundusbellicus.fr/624020-el-dorado-the-golden-city-builder-les-esclaves;151;El Dorado: The Golden City Builder;Gestion
Krissotep;2023-06-15 18:18:00;Stellaris, carnet des développeurs n°304 : 3.8.4 Publiée, quelle est la prochaine étape?;https://www.mundusbellicus.fr/624004-stellaris-carnet-des-développeurs-304-3-8-4-publiee-quelle-est-la-prochaine-etape;209;Stellaris;Grande Stratégie
Ancient Egypt Fan;2023-06-14 20:38:00;Land of the Vikings - Carnet de développement #4 & #5;https://www.mundusbellicus.fr/623994-land-of-the-vikings-carnet-de-developpement-4-5;119;Land of the Vikings;Gestion
Ancient Egypt Fan;2023-06-14 20:02:00;Monuments Flipper - Le Machu Picchu;https://www.mundusbellicus.fr/623992-monuments-flipper-le-machu-picchu;65;Monuments Flipper;Gestion
Sinake;2023-06-13 20:24:00;Annonce HOI4 1.13: Nouvelle Extension Arms Against Tyranny!;https://www.mundusbellicus.fr/623978-annonce-hoi4-1-13-nouvelle-extension-arms-against-tyranny;628;Hearts of Iron IV;Grande Stratégie
