title;url;author;date;views;game;game_type
Humankind - Contenu de la mise à jour d'Octobre;https://www.mundusbellicus.fr/604994-humankind-contenu-de-la-mise-à-jour-d-octobre;Mouchi;2021-10-24 09:00:00;466.0;Humankind;4X
Builders of Egypt - Carnet de Développement #24;https://www.mundusbellicus.fr/604991-builders-of-egypt-carnet-de-developpement-24;Ancient Egypt Fan;2021-10-23 22:00:00;119.0;Builders of Egypt;Gestion
Crusader Kings 3 : Prendre une Langue de Cour;https://www.mundusbellicus.fr/604980-crusader-kings-3-prendre-une-langue-de-cour;Mouchi;2021-10-23 09:17:00;379.0;Crusader Kings 3;Grande Stratégie
Chinese City Constructor - Carnet de Développement N°4;https://www.mundusbellicus.fr/604956-chinese-city-constructor-carnet-de-developpement-n4;Ancient Egypt Fan;2021-10-21 22:35:00;152.0;Chinese City Constructor ;Gestion
Stellaris, carnet des développeurs n°228 : Les nouveaux contenus de la mise à jour 3.2.;https://www.mundusbellicus.fr/604921-stellaris-carnet-des-developpeurs-n-228-les-nouveaux-contenus-de-la-mise-a-jour-3-2;Vilcoyote;2021-10-21 00:01:00;498.0;Stellaris;Grande Stratégie
Europa Universalis IV: Origins - Sortie le 11 Novembre 2021;https://www.mundusbellicus.fr/604896-europa-universalis-iv-origins-sortie-le-11-novembre-2021;AcidePrussique;2021-10-20 13:08:00;688.0;Europa Universalis IV;Grande Stratégie
Pharaoh : A New Era - Découvrez nos atouts redessinés - Partie 5;https://www.mundusbellicus.fr/604882-pharaoh-a-new-era-decouvrez-nos-atouts-redessines-partie-5;Ancient Egypt Fan;2021-10-20 00:30:00;197.0;Pharaoh : A New Era;Gestion
Sumerians - Bijoux et sésame;https://www.mundusbellicus.fr/604880-sumerians-bijoux-et-sesame;Ancient Egypt Fan;2021-10-19 23:57:00;59.0;Sumerians;Gestion
Europa Universalis IV - Carnet de développement du 19 Octobre 2021;https://www.mundusbellicus.fr/604876-europa-universalis-iv-carnet-de-developpement-du-19-octobre-2021;AcidePrussique;2021-10-19 21:40:00;503.0;Europa Universalis IV;Grande Stratégie
Stellaris, carnet des développeurs n°227 : S'occuper de l'IA.;https://www.mundusbellicus.fr/604845-stellaris-carnet-des-developpeurs-n-227-s-occuper-de-l-ia;Vilcoyote;2021-10-18 22:59:00;258.0;Stellaris;Grande Stratégie
Crusader Kings 3 : Devenir Polyglotte;https://www.mundusbellicus.fr/604808-crusader-kings-3-devenir-polyglotte;Mouchi;2021-10-17 09:59:00;432.0;Crusader Kings 3;Grande Stratégie
Stellaris, carnet des développeurs n°225 et 226 : Dernière sortie pour Lem et futures mises à jour.;https://www.mundusbellicus.fr/604786-stellaris-carnet-des-developpeurs-n-225-et-226-derniere-sortie-pour-lem-et-futures-mises-à-jour;Vilcoyote;2021-10-16 12:31:00;342.0;Stellaris;Grande Stratégie
Builders of Egypt - Carnet de Développement #23;https://www.mundusbellicus.fr/604764-builders-of-egypt-carnet-de-developpement-23;Ancient Egypt Fan;2021-10-15 22:35:00;108.0;Builders of Egypt;Gestion
Humankind - Progrès de mise à jour d'Octobre;https://www.mundusbellicus.fr/604761-humankind-progres-de-mise-à-jour-d-octobre;Mouchi;2021-10-15 20:46:00;211.0;Humankind;4X
Diarium Strategorum - 27ème édition - Le Journal des Stratèges : août 2021;https://www.mundusbellicus.fr/604752-diarium-strategorum-27ème-édition-le-journal-des-stratèges-août-2021;CptSparke;2021-10-15 14:11:00;66.0;Diarium Strategorum;
Total War : Warhammer III - Refonte des batailles de siège;https://www.mundusbellicus.fr/604744-total-war-warhammer-iii-refonte-des-batailles-de-siege;Lord Perhaps On The Roof;2021-10-15 11:09:00;291.0;Total War : Warhammer II;Total War
Project Wunderwaffe - Nouvelles de Production #10;https://www.mundusbellicus.fr/604723-project-wunderwaffe-nouvelles-de-production-10;Ancient Egypt Fan;2021-10-13 18:13:00;106.0;Project Wunderwaffe;Gestion
Europa Universalis IV - Carnet de développement du 13 Octobre 2021;https://www.mundusbellicus.fr/604718-europa-universalis-iv-carnet-de-developpement-du-13-octobre-2021;AcidePrussique;2021-10-13 17:32:00;458.0;Europa Universalis IV;Grande Stratégie
Carnet de développement HOI4 1.11 Barbarossa: Changement au combat et exilés soviétiques;https://www.mundusbellicus.fr/604686-carnet-de-developpement-hoi4-1-11-barbarossa-changement-au-combat-et-exiles-sovietiques;Sinake;2021-10-12 20:47:00;408.0;Hearts of Iron IV;Grande Stratégie
Total War : Warhammer III - Liste d'armée du Grand Cathay;https://www.mundusbellicus.fr/604651-total-war-warhammer-iii-liste-d-armee-du-grand-cathay;Lord Perhaps On The Roof;2021-10-11 10:46:00;661.0;Total War : Warhammer II;Total War
Builders of Egypt - Carnet de Développement #22;https://www.mundusbellicus.fr/604586-builders-of-egypt-carnet-de-developpement-22;Ancient Egypt Fan;2021-10-08 22:11:00;144.0;Builders of Egypt;Gestion
Chernobyl Liquidators Simulator - Carnet de développement n°50;https://www.mundusbellicus.fr/604567-chernobyl-liquidators-simulator-carnet-de-developpement-n50;Ancient Egypt Fan;2021-10-08 17:11:00;33.0;Chernobyl Liquidators Simulator;Gestion
Project Wunderwaffe - Nouvelles de Production #9;https://www.mundusbellicus.fr/604565-project-wunderwaffe-nouvelles-de-production-9;Ancient Egypt Fan;2021-10-08 16:52:00;75.0;Project Wunderwaffe;Gestion
Crusader Kings 3 : Audio royal;https://www.mundusbellicus.fr/604550-crusader-kings-3-audio-royal;Mouchi;2021-10-07 20:10:00;234.0;Crusader Kings 3;Grande Stratégie
Carnet de développement HOI4 1.11 Barbarossa: des petites améliorations N°3;https://www.mundusbellicus.fr/604516-carnet-de-developpement-hoi4-1-11-barbarossa-des-petites-ameliorations-n3;Sinake;2021-10-06 13:23:00;509.0;Hearts of Iron IV;Grande Stratégie
Europa Universalis IV - Carnet de développement du 5 Octobre 2021;https://www.mundusbellicus.fr/604504-europa-universalis-iv-carnet-de-developpement-du-5-octobre-2021;AcidePrussique;2021-10-05 22:07:00;497.0;Europa Universalis IV;Grande Stratégie
Crusader Kings 3 : Les événements de Cour;https://www.mundusbellicus.fr/604479-crusader-kings-3-les-événements-de-cour;Mouchi;2021-10-04 19:57:00;368.0;Crusader Kings 3;Grande Stratégie
Carnet de développement HOI4 1.11 Barbarossa: Les Canons sur rails ne se fatiguent jamais!;https://www.mundusbellicus.fr/604403-carnet-de-developpement-hoi4-1-11-barbarossa-les-canons-sur-rails-ne-se-fatiguent-jamais;Sinake;2021-10-01 21:00:00;531.0;Hearts of Iron IV;Grande Stratégie
Builders of China - Carnet de Développement N°14;https://www.mundusbellicus.fr/604388-builders-of-china-carnet-de-developpement-n14;Ancient Egypt Fan;2021-10-01 13:11:00;90.0;Builders of China;Gestion
Stadium Renovator - Carnet de Développement #10 - #11;https://www.mundusbellicus.fr/604377-stadium-renovator-carnet-de-developpement-10-11;Ancient Egypt Fan;2021-09-30 23:03:00;29.0;Stadium Renovator;Gestion
Victoria 3 - Carnet XVI : Les états-régions;https://www.mundusbellicus.fr/604370-victoria-3-carnet-xvi-les-etats-regions;Limse;2021-09-30 16:56:00;484.0;Victoria 3;Grande Stratégie
Stellaris, carnet des développeurs n°217 : Communication avec l'équipe Custode et Q&R n°2.;https://www.mundusbellicus.fr/604355-stellaris-carnet-des-développeurs-n-217-communication-avec-l-equipe-custode-et-q-r-n-2;Vilcoyote;2021-09-29 23:38:00;315.0;Stellaris;Grande Stratégie
Builders of Egypt - Carnet de Développement #21;https://www.mundusbellicus.fr/604354-builders-of-egypt-carnet-de-developpement-21;Ancient Egypt Fan;2021-09-29 23:12:00;112.0;Builders of Egypt;Gestion
Europa Universalis IV - Carnet de développement du 28 Septembre 2021;https://www.mundusbellicus.fr/604316-europa-universalis-iv-carnet-de-developpement-du-28-septembre-2021;AcidePrussique;2021-09-28 16:55:00;641.0;Europa Universalis IV;Grande Stratégie
Crusader Kings 3 : Puis-je en avoir plus mon Kaiser ?;https://www.mundusbellicus.fr/604268-crusader-kings-3-puis-je-en-avoir-plus-mon-kaiser;Mouchi;2021-09-25 07:25:00;632.0;Crusader Kings 3;Grande Stratégie
Chernobyl Liquidators Simulator - Carnet de développement n°48-n°49;https://www.mundusbellicus.fr/604257-chernobyl-liquidators-simulator-carnet-de-developpement-n48-n49;Ancient Egypt Fan;2021-09-24 17:43:00;62.0;Chernobyl Liquidators Simulator;Gestion
Timberborn - Remerciements;https://www.mundusbellicus.fr/604253-timberborn-remerciements;Ancient Egypt Fan;2021-09-24 10:10:00;111.0;Timberborn;Gestion
Field of Glory II : Medieval Swords and Scimitars disponible;https://www.mundusbellicus.fr/604241-field-of-glory-ii-medieval-swords-and-scimitars-disponible;Foeurdr;2021-09-23 15:24:00;183.0;Field of Glory II : Medieval;Stratégie Tour par Tour
Carnet de développement HOI4 1.11 Barbarossa: Traiiiiins;https://www.mundusbellicus.fr/604234-carnet-de-developpement-hoi4-1-11-barbarossa-traiiiiins;Sinake;2021-09-23 08:50:00;446.0;Hearts of Iron IV;Grande Stratégie
Europa Universalis IV - Carnet de développement du 21 Septembre 2021;https://www.mundusbellicus.fr/604222-europa-universalis-iv-carnet-de-developpement-du-21-septembre-2021;AcidePrussique;2021-09-22 19:32:00;507.0;Europa Universalis IV;Grande Stratégie
Victoria 3 - Carnets VIII à XV : Un long été sans le journal...;https://www.mundusbellicus.fr/604193-victoria-3-carnets-viii-a-xv-un-long-ete-sans-le-journal;Limse;2021-09-21 21:19:00;521.0;Victoria 3;Grande Stratégie
